nameOrig,oldbalanceOrg,nameDest,oldbalanceDest
C1231006815,170136.0,M1979787155,0.0
C1666544295,21249.0,M2044282225,0.0
C1305486145,181.0,C553264065,0.0
C840083671,181.0,C38997010,21182.0
C2048537720,41554.0,M1230701703,0.0
C90045638,53860.0,M573487274,0.0
C154988899,183195.0,M408069119,0.0
C1912850431,176087.23,M633326333,0.0
C1265012928,2671.0,M1176932104,0.0
C712410124,41720.0,C195600860,41898.0
C1900366749,4465.0,C997608398,10845.0
C249177573,20771.0,M2096539129,0.0
C1648232591,5070.0,M972865270,0.0
C1716932897,10127.0,M801569151,0.0
C1026483832,503264.0,M1635378213,0.0
C905080434,15325.0,C476402209,5083.0
C761750706,450.0,M1731217984,0.0
C1237762639,21156.0,M1877062907,0.0
C2033524545,15123.0,M473053293,0.0
C1670993182,705.0,C1100439041,22425.0
C20804602,13854.0,M1344519051,0.0
C1566511282,11299.0,C1973538135,29832.0
C1959239586,1817.0,C515132998,10330.0
C504336483,67852.0,M1404932042,0.0
C1984094095,10835.0,C932583850,6267.0
C1043358826,443.0,M1558079303,0.0
C1671590089,116494.0,M58488213,0.0
C1053967012,10968.0,M295304806,0.0
C1632497828,2958.91,M33419717,0.0
C764826684,0.0,M1940055334,0.0
C2103763750,0.0,M335107734,0.0
C215078753,0.0,M1757317128,0.0
C840514538,0.0,M1804441305,0.0
C1768242710,0.0,M1971783162,0.0
C247113419,0.0,M151442075,0.0
C1238616099,0.0,M70695990,0.0
C1608633989,253.0,M1615617512,0.0
C923341586,300481.0,M107994825,0.0
C1470868839,297689.58,M1426725223,0.0
C711197015,233633.0,M1384454980,0.0
C1481594086,297.0,M1569435561,0.0
C1466917878,32604.0,C1297685781,209699.0
C768216420,26845.41,C1509514333,288800.0
C260084831,998.0,M267814113,0.0
C598357562,0.0,M1593224710,0.0
C1440738283,152019.0,M1849015357,0.0
C484199463,15818.0,M2008106788,0.0
C1570470538,1942.02,C824009085,70253.0
C512549200,0.0,C248609774,652637.0
C1615801298,586.0,M490391704,0.0
C460570271,23053.0,M1653361344,0.0
C2072313080,20411.53,C2001112025,25742.0
C816944408,203543.0,M909132503,0.0
C912966811,41276.0,M1792384402,0.0
C1458621573,47235.77,M1658980982,0.0
C46941357,38071.06,M1152606315,0.0
C343345308,16174.0,M1714688478,0.0
C104716441,1627.0,M1506951181,0.0
C1976401987,79114.0,C1937962514,517.0
C867288517,8547.0,C242131142,10206.0
C1528834618,3017.87,C476800120,132372.0
C280615803,10256.0,C1254526270,10697.0
C166694583,882770.0,C1129670968,12636.0
C885910946,874042.26,M1860591867,0.0
C811207775,153.0,C1971489295,253104.0
C1161148117,2192.0,M516875052,0.0
C1131592118,41551.0,M589987187,0.0
C1262609629,12019.0,M587180314,0.0
C1955990522,4782.0,C1330106945,52752.0
C69673470,216827.0,M1082411691,0.0
C527211736,209534.84,C2096057945,52120.0
C1533123860,162075.98,C766572210,217806.0
C1718906711,25203.05,C977993101,99773.0
C71802912,12030.0,M2134271532,0.0
C686349795,9031.96,M1831010686,0.0
C1423768154,10999.0,M404222443,0.0
C1987977423,224.0,M61073295,0.0
C807322507,23350.0,M396485834,0.0
C283039401,10363.39,C1330106945,57901.66
C207471778,0.0,C1761291320,94900.0
C1243171897,0.0,C783286238,24672.0
C1376151044,0.0,C1749186397,103772.0
C873175411,0.0,C766572210,354678.92
C1443967876,0.0,C392292416,348512.0
C1449772539,0.0,C1590550415,900180.0
C926859124,0.0,C665576141,29031.0
C1603696865,0.0,C766572210,579285.56
C12905860,0.0,C1359044626,223220.0
C412788346,0.0,C1590550415,1280036.23
C1520267010,0.0,C1590550415,2041543.62
C908084672,0.0,C392292416,474384.53
C288306765,0.0,C1359044626,370763.1
C1556867940,0.0,C1509514333,399214.71
C1839168128,0.0,C1286084959,667778.0
C1495608502,0.0,C1590550415,3470595.1
C835773569,0.0,C1359044626,738531.5
